entry_id	def_index	variants	mandarin_variants
5359	0	河畔	河边/河岸
5376	1	沙甸魚	沙丁鱼
5372	0	沙士	沙示
5404	1	沃	肥沃/富饶
5445	0	汀	沙洲/沙坝
5526	0	毫不	一点也不
5597	0	歸化	入籍
5625	0	步操	队列训练
5629	0	此時此刻	现在/眼下
5725	0	機鐵	机场快线/机场快轨
5744	0	樹欲靜而風不息，子欲養而親不在	树欲静而风不止，子欲养而亲不待
5914	0	柱體	棱柱
6203	0	暗瘡	粉刺/青春痘/痤疮
6232	0	普羅大眾	普通大众/人民群众
6304	0	明槍易擋，暗箭難防	明枪易躲，暗箭难防
6411	0	新地	圣代
6619	0	擺賣	摆摊
6493	0	敝	寒舍/陋
6879	1	捱	坚持/熬/撑
6966	0	拜祭	祭拜/祭祀
6983	0	拖肥糖	太妃糖
7023	1	押	押送/押运/押后
7022	0	押後	推迟/延迟/延后
7153	0	手提	手机
7102	0	扛	扛起
7346	1	愛	想要/喜欢
7521	0	忍不住	禁不住/不由得
7655	0	律政	司法/法律
7630	0	得	好处/利益/优势
7574	0	徵狀	症状/征兆/迹象
7676	0	影藝	电影摄影/电影艺术
7823	0	幾度	几次/几回/好几遍
7809	0	座	座位/座席
7853	0	年花	年宵花
7861	1	年宵	年货市场/春节集市
7933	0	帥	英俊
7946	0	布冧	李子
7884	0	平平無奇	普普通通
7947	0	布偶	布娃娃
7956	1	市	股市/市场
7990	0	左	左边/左面
8025	0	崖	悬崖
7998	0	工業邨	工业园区/工业区
8075	0	屬土	属地/附属地
8233	0	專上院校	高等院校/大专院校
8195	0	對準	瞄准
8291	0	實而不華	朴实无华
8384	0	室樂	室内乐
8410	0	官立	公立/官办
8435	0	安枕無憂	高枕无忧
8365	0	家傳户曉	家喻户晓/众所周知/人人皆知
8606	0	如詩如畫	诗情画意
8551	0	娟	娟秀/优雅/优美
8638	0	好友	好朋友
8559	0	威爾斯	威尔士
8497	0	孟加拉	孟加拉国
8834	0	大樓	大厦
8768	0	天有不測之風雲	天有不测风云
8734	0	太平山	维多利亚峰
8855	0	大展拳腳	大展身手/大显身手/施展才华
8881	0	大伙	大家/大伙儿/各位
9031	0	塌	倒塌/坍塌
9065	0	堆填	填埋
9271	0	回家	返家
9116	0	垃圾蟲	乱扔垃圾的人
9276	0	回到	返回
9404	0	善惡到頭終有報	善有善报，恶有恶报
9415	0	啥	什么
9412	0	啹喀兵/踞喀兵/居家兵	廓尔喀兵
9447	0	商	商朝
9540	0	和好如初	重归于好/破镜重圆
9568	0	周界	周边/边界/外围
9616	1	吧/bar	吧台/自助餐台
9623	0	吞拿魚	金枪鱼
9681	0	吉爾吉斯	吉尔吉斯斯坦
9607	0	吱吱喳喳	叽叽喳喳
9703	0	各適其適	各得其所/各取所需/各随其便
9708	0	各種	各类/各式各样
9723	0	叼	衔
9712	0	各家自掃門前雪	各人自扫门前雪
9736	0	台灣/臺灣	臺灣
9737	1	台東/臺東	臺東
9739	0	台北/臺北	臺北
9738	0	台南/臺南	臺南
9749	0	可能性	机会/几率
9782	0	只能	只得
9831	0	受勳/受勛	授勋
9780	0	只要有恆心，鐵杵磨成針	只要功夫深，铁杵磨成针
9922	0	即場	当场/现场
9833	0	受不了	无法忍受
9957	0	南韓	韩国/南朝鲜
9942	0	卧	躺/趴/睡
10052	0	北韓	朝鲜
10004	0	升讀	升学/升入
10055	1	北斗	泰斗/权威/领袖/核心人物
10090	0	勸諭	劝告/劝导/劝说
10154	0	加薪	涨工资
10159	0	加插	插入/添加
10362	0	刁時/due 時	平分/平局/平手
10449	0	冰封三尺，非一日之寒	冰冻三尺，非一日之寒
10525	0	公援	公共援助/综援
10548	0	八珍	八宝
10531	0	公屋	公租房/公共住房
10549	0	八爪魚	章鱼
10589	0	入讀	入学/就读
10614	0	免治	绞碎/剁碎/切碎
10853	2	俾/畀	被/给/让
10794	0	做飯	煮饭/烧饭
10938	0	供款	分期付款
11019	1	住	暂住
10942	0	侍應	服务员/侍应生
11300	0	乘搭	乘坐/搭乘
11246	0	云	说/讲/言
11315	0	乃	是
11322	0	主禮	主持人
11359	0	中樂	国乐/民乐
11429	0	不經不覺	不知不觉
11437	0	不眠不休	夜以继日
11439	0	不相伯仲	不相上下/旗鼓相当/势均力敌
11416	0	名不經傳	默默无闻/鲜为人知
11585	0	上址	上述地址/前述地址
11579	0	上文下理	上下文/前后文
11496	0	不單止/不單只	不仅/不只/不单/不光
11610	0	三人行必有我師	三人行，必有我师
11650	0	一言驚醒夢中人	一语惊醒梦中人
11719	0	一塊	一起/一块儿
11749	0	丫	叉/分叉
11793	0	侶	伴侣/伙伴/搭档
11794	5	係	是
11883	0	匡	纠正/改正/矫正
11909	0	后	皇后/王后
11922	4	咩	每/所有/任何
11932	0	唳	鸣叫/啼叫
11948	0	嗇	节省/节约
11951	0	嗡	嗡嗡
11986	0	埃	灰尘/尘埃
11957	0	嘯	啸叫/呼啸/吼叫
11987	0	域	领域/范围/界限
12002	3	壇	土坛/土台
12000	0	墾	耕/犁
11998	0	墅	别墅
12027	1	妹	妹妹/表妹/堂妹
12069	1	宙	天空/天穹/苍穹
12078	0	寇	匪/强盗/土匪
12136	0	帛	丝绸
12079	0	寐	睡/睡觉/入睡
12168	1	弛	放松/松懈
12223	0	悟	领悟/觉悟
12226	0	悸	心悸
12244	0	慄	发抖/颤抖/哆嗦
12316	0	撼	触动/打动/感动
12371	0	暉	阳光/日光
12397	1	析	解剖/剖析
12431	0	榨	挤/压
12486	0	汰	淘汰/舍弃/丢弃
12514	0	涎	口水
12515	1	涕	眼泪/泪水
12577	0	濯	洗/清洗
12569	2	澳	海湾/港湾
12519	0	淆	害怕/恐惧/胆怯
12578	0	濱	岸边/河滨/海滨
12597	0	炬	火炬
12622	0	燼	灰烬
12580	1	瀋	汁/液体
12608	0	煌	辉煌/灿烂/耀眼
12620	0	燬	焚毁/烧毁
12668	0	瑩	晶莹/莹润
12658	0	琳	美玉/琼玉
12699	0	痍	损伤/伤害
12756	1	砥	磨刀/磨砺
12776	0	禧	庆典/庆祝/纪念
12784	0	秋	秋天/秋季
12785	0	秧	秧苗
12792	0	稼	庄稼/谷物
12797	1	穎	聪颖/颖悟/颖慧
12861	0	紹	邵
12862	0	絀	短缺/不足/缺乏
12802	0	穹	苍穹/天空/天穹
12884	0	緻	精致/细致/精美
12988	0	舐/奶/𦧺	舔
13006	0	苔	苔藓/青苔
12889	0	繆	绑紧/捆紧
13015	0	茲	此/这
13046	0	蒂	梗
13034	1	萃	聚集/汇集/集合
13065	0	蕾	花蕾/花苞
13047	0	蒐	收集/搜集
13150	0	訟	诉讼/官司
13149	0	訝	惊讶/诧异
13157	1	詠	赞美/称赞/歌颂
13143	0	覷	看/瞧/瞅/盯
13171	0	誨	教导/教诲
13201	0	豚	猪
13177	0	諭	谕令/谕旨/命令
13280	0	逕	直接
13287	1	遁	躲藏/隐藏/隐匿
13239	0	跤	摔倒/跌倒
13299	0	邇	近/靠近
13361	0	闕	缺少/缺乏
13444	0	駐	停留/保持
13483	0	鳩	斑鸠
13420	0	顰	皱眉/蹙眉
13515	2	嘢	东西/家伙
13519	1	吊鹽水	苟延残喘/勉强维持/勉强支撑
13521	0	拗柴	崴脚/扭伤脚
13522	1	篤魚蛋	戳到手指/手指戳伤
13525	0	毒撚	宅男/死宅/屌丝/毒男
13529	0	食電	受到辐射/被辐射
13532	0	大肚婆	孕妇
13534	1	揩嘢	遭殃/倒霉/遇到麻烦
13535	0	仔房	儿科病房
13536	0	薄血藥	抗凝血药/血液稀释剂
13537	1	照肺	挨训/被训话/被训斥
13538	0	灣京	维也纳
13539	1	諗	想/思考/认为/觉得
13541	0	般京	波恩
13540	0	邊京	伯尔尼
13544	1	文	语言/文字
13542	0	士多貢	斯德哥尔摩
13545	0	話	讲话/话语
13548	1	唔係	不是/并非
13547	2	會	经常/通常
13549	2	冇	没有/无
13550	0	嘅	的
13552	0	爆肺	气胸
13553	0	洗肚	腹膜透析
13554	0	洗血	血液透析/洗肾
13556	0	借眼	陪同/陪伴/照看
13565	0	撳𨋢/㩒𨋢	按电梯
13563	0	𨋢門	电梯门
13562	0	𨋢	电梯
13564	0	𨋢槽	电梯井
13561	0	K仔	K粉/氯胺酮
13560	0	白粉友	吸毒者/瘾君子
13557	0	骨佬	骨科医生/骨科大夫
13566	0	貨𨋢	货梯/货运电梯
13568	0	𡃁妹/僆妹/𨈓妹	小姑娘/小女孩/少女
13569	0	𡃁模	嫩模/小模特
13570	0	蛇𠺌/蛇gwe/蛇呱	胆小/胆怯/怯懦
13567	0	𡃁仔/僆仔/𨈓仔	小伙子/小年轻/小青年
13573	0	妹	女孩/姑娘
13574	0	屎窟/屎忽	屁股
13572	0	脷	舌头
13575	0	屎窟窿/屎忽窿	肛门/屁眼
13581	0	嘎妹/㗎妹/架妹	日本妹/小日本/倭女
13579	0	朘朘/啫啫/䘒䘒/jer jer/脧/啫/䘒/jer	鸡鸡/小鸡鸡/小弟弟/丁丁
13578	0	窿/竉	洞/孔/窟窿
13580	0	嘎仔/㗎仔/架仔	小日本/日本鬼子
13587	0	會	社团/组织
13586	1	會	会面/见面/遇见
13590	2	仔仔/囝囝	小白脸/鸭/男妓
13589	0	會	会面/见面/碰面
13596	0	𢆡頭/lin頭/nin頭/脌頭	乳头
13594	0	隔籬	隔壁/旁边/邻近
13595	0	隔籬鄰舍	邻居/隔壁邻居
13593	0	黐線/黐綫/痴線/癡線/痴綫	串线/短路
13597	0	の	之
13598	0	屌那星/𨳒那星	他妈的/妈的
13599	0	屎眼	屁眼/肛门
13601	0	囉噼/籮pat/囉pat	屁股/臀部
13602	0	籮柚/囉柚	屁股/臀部
13603	0	啲/D	些/点
13604	0	雲呢拿/呍呢嗱/呍呢拿/雲呢嗱/雲尼拿/雲尼嗱	香草
13600	0	噼噼/pat pat	屁股/屁屁
13605	0	咗/左/唨	了
13608	3	住	得住/不住
13607	0	開	惯/习惯
13606	1	緊	着/在
13609	0	瞓覺	睡觉
13610	1	瞓	躺/睡
13611	0	啲/D	一点/一些/点儿
13612	0	啲啲/DD	一点点/少许/一丁点
13616	0	緊	快
13620	2	得	竟然/居然
13625	0	手提	便携/手持
13626	5	波	波浪/波纹
13624	0	天拿水	天那水/香蕉水/稀释剂
13623	0	茶走	奶茶走糖/奶茶走奶/奶茶走甜
13629	0	肥屍大隻	肥硕/膀大腰圆/五大三粗
13632	0	阿差/阿叉/亞差	阿三
13630	1	佢	它/他/她
13638	1	亞	次等/二等/二流
13639	0	鴉	乌鸦
13649	0	亞士匹靈/亞斯匹靈/阿士匹靈/阿斯匹靈	阿司匹林
13656	0	阿嫲	奶奶/祖母
13661	0	嫲嫲	奶奶/祖母
13659	0	阿嬸	婶婶/婶子/婶娘
13664	0	倀雞/掁雞/棖雞/殘雞/鋹雞	泼辣/凶悍/蛮横
13665	1	阿哥	大哥/哥哥
13668	1	啱	刚好/恰好/碰巧
13671	1	挨	靠/倚/倚靠
13669	0	打躉	闲逛/游荡/徘徊
13675	2	呃	骗/欺骗/哄骗
13670	0	阿頭	头儿/领导/老板/上司
13678	0	挨挨憑憑/挨挨凭凭	靠来靠去/倚来倚去
13676	0	呃秤/呃稱	缺斤少两/短斤缺两/克扣斤两
13677	0	握	抓/握住
13679	0	挨晚	傍晚/黄昏
13680	0	阿仔	儿子/仔/孩子
13681	0	挨身挨勢	靠得太近/紧贴/紧挨
13682	0	挨住	靠着/挨着/倚靠
13684	3	嗌	点/叫/点餐
13685	3	咓/呀/呀嘛/嘛	啊
13686	0	嗌交	吵架/争吵
13694	0	壓	压力
13693	1	壓	压迫/施压
13692	0	遏	压制/抑制/遏止
13701	0	壓力煲	高压锅/压力锅
13695	0	嗌霎	吵架/争执/拌嘴
13707	0	拗	弯/弯曲/折弯
13709	1	暗啞抵/暗啞底	默默承受/无怨无悔
13712	0	暗角	阴暗角落
13710	0	押	押送/护送
13715	0	押	抵押/质押
13722	0	哽耳	刺耳
13721	0	哽/𬒔	硌/顶住
13720	0	走數	逃债/赖账/躲债
13726	0	罨	闷/捂/焐
13724	0	找數	结账/买单/付账
13730	2	扤	强加/硬塞
13728	0	罨耷/噏耷	邋遢/肮脏/破旧/杂乱
13733	0	巴喳/巴渣/巴揸	叽叽喳喳/多嘴/爱管闲事/聒噪
13735	1	啱啱	刚刚/刚才
13737	2	嘔	亏/赔/补偿/抵偿
13736	0	啱用	适用/合用/好用
13738	0	啱使	好用/适用/合适
13742	0	啱數	合适/正好/恰当/适量
13748	1	晏	晚/迟
13749	0	晏	午餐/午饭
13747	0	啱身	合身/合适
13744	0	毆	打/揍/殴打
13750	1	毆	打/揍/殴打
13752	0	晏覺	午睡/午觉
13756	0	晏晝飯	午饭/午餐
13753	1	晏晝	午饭/午餐
13757	0	把鬼	没用/废物/垃圾
13760	0	甖/罌	罐子/瓶子/坛子
13763	0	把炮	有本事/有能耐/有手段/有影响力
13765	0	鴨	鸭子
13768	0	鴨仔	小鸭/鸭宝宝
13771	0	靶	靶子/靶标
13766	0	鴨	男妓/鸭子/牛郎
13773	0	霸	霸王/霸主/恶霸
13779	0	壩	水坝
13775	0	霸	霸占/占据/夺取
13783	1	巴閉	嚣张/狂妄/自大/神气
13795	0	白鮓/白蚱/白咋	水母/海蜇
13797	0	霸位	占座/占位
13803	1	白	免费/白给
13807	0	爸	爸爸/爹/父亲
13818	0	罷	算了/罢了
13813	0	罷就	算了/罢了
13816	1	吧	啊/呀
13825	0	包伙食	包餐/包饭/提供伙食
13824	0	罷啦	算了吧/就这样吧/别想了
13821	0	包頂頸	抬杠/顶嘴/爱抬杠的人
13833	1	擺	展示/陈列
13836	0	巴打/爸打	兄弟/哥们儿/老铁
13839	2	白油	酱油
13837	0	睇水	望风/把风/放哨
13841	0	擺檔	摆摊
13845	0	擺款	摆架子/装腔作势/摆谱
13848	0	擺明	明摆着/显然/明显
13850	1	吖	哎呀/啊/唉
13849	0	擺甫士	摆姿势/摆造型
13878	0	扼	握紧/抓紧
13893	0	噏/up	胡说/瞎扯/乱说
13885	0	黯	漆黑/乌黑/黢黑
14477	1	被	让/给
14300	0	不嬲/不留/不溜	一向/一直/从来/向来
14105	0	跛	瘸
14689	0	併	合并/兼并/融合
14530	0	病重	病危
14817	0	泊	停/停放
14788	0	坡	斜坡
15175	1	伴	伙伴/同伴/伴侣
15195	0	捧	托
15200	2	撥	分配/拨给/拨出
15224	0	岔開	转移话题/偏离主题
15278	3	踩/踹	贬低/批评/抨击
15295	0	賊	小偷/强盗
15769	0	斜/笡	倾斜
15280	0	踩油	踩油门/加油
15279	0	踩鋼線/踹鋼線	走钢丝
15288	0	測	测试/测验/考核
15913	0	錘/鎚	锤子
15795	1	請	请求
16275	0	錢	金钱
15881	0	廚	烹饪/做饭/下厨
16754	1	腸	香肠
16651	0	倡	倡导/提倡/主张/支持
16987	0	嘈喧巴閉/嘈冤巴閉	吵吵闹闹/喧闹/吵闹
17139	2	處	隐藏/隐蔽
17351	0	打交叉	打叉/画叉
17765	0	蛋	鸡蛋
18059	2	耷/dup/𦖿	刹车/制动
17399	0	打醒精神	打起精神/保持清醒/集中注意力
18097	2	糾	监督/监管
18118	1	豆	豆子/豆类
18202	0	笛	笛子/长笛
18217	0	訂	预订/预定/订购
18339	0	點醒	提醒/点拨
18504	1	疊	堆/摞
18566	0	掉	扔/丢/抛
18666	0	怠	懒惰/懒散
18626	0	剁/斫/斵	切碎
19169	2	返/番/翻	回/归
19251	0	販	贩卖/卖
19413	0	發泡膠/發保膠	泡沫塑料/聚苯乙烯泡沫
19632	0	忿/忿	生气/愤怒/发火
19759	0	緋	绯红
19652	0	份	份额/参与/角色/资格/权利
20272	1	伏	躲藏/藏
20008	0	房	房间/屋子
20250	0	腹大便便	大腹便便
20435	0	篷	屋檐/房檐
20394	0	風頭火勢	风口浪尖/紧要关头/危急关头
20436	0	蓬	茂盛/疯长
20581	1	架生/架撐	家伙/工具/器械
20873	1	夾	配合/合作/协作
20950	0	姣	风骚/妖艳/妩媚
21222	0	緊握	紧抓
21292	0	鴿	鸽子
21403	0	嘅話	的话
21388	0	購物	买东西
21386	0	購下	购买/买下
21385	0	購	购买/采购
21377	0	構	构建/构造/建构
21794	1	驚	害怕/担心/恐惧
21879	0	競	竞赛/竞争
21931	1	杰撻撻/傑撻撻	糟糕/严重/麻烦大了
21848	0	警局	警察局/警署
21963	0	叫聲	呼喊声/喊声
21964	0	叫醒	唤醒
22308	0	高聲	大声
22835	0	逛街	购物/溜达
22785	0	褂	褂子/长袍
22834	0	逛	溜达/闲逛
22071	0	蓋上	覆盖
23390	5	行	走/移动
23204	2	下/吓	一下/点儿
23393	0	行人路	人行道
23405	0	狹	狭窄/窄
23411	0	俠	侠客/侠士
23413	0	吼	吼叫/咆哮
23414	0	拷	拷打/刑讯
23508	2	黑	倒霉/不幸/晦气
23507	0	剋	克制/抑制/对抗
23515	3	黑底	黑内裤
23521	0	黑工	非法劳工
23516	0	黑點	污点
23520	0	黑古勒特/黑古勒掘	黑黝黝/黑黢黢/黑不溜秋
23525	1	黑嘛嘛/黑媽媽/黑孖孖	黑漆漆/黑乎乎/黑黢黢
23830	0	後晚	后天晚上
23831	1	後尾	最后/末尾/结尾
23592	0	痕	痕迹/印痕
23735	0	吼住/睺住/喉住	盯着/觊觎/虎视眈眈
24043	2	輕	少/轻微
24107	0	歉	抱歉/歉意
24218	0	協	协作/合作/协同
24249	1	竅	窍门/诀窍/关键
24581	0	刊	刊登/刊载/出版
24589	0	捍衞	捍卫/保卫/守护
24648	0	巷	巷子/胡同/里弄
24588	0	捍	捍卫/保卫/防守
24765	0	蠔豉	干蚝
24873	0	烘/炕	烤/烘干
24933	0	渲	渲染
24982	0	擪/yap	差劲/糟糕/烂/不行
25760	0	有頭有面	有头有脸
25677	0	髹/油	涂/刷/油漆
25051	0	任	放任/任凭/任由
25839	1	贏	赢得/赢取
25925	0	椅墊	坐垫
26228	0	簷	檐/屋檐
25962	0	而家/依家	现在/此刻/目前
26229	0	簷篷	屋檐/雨篷
26089	0	二五仔	叛徒/内奸/卧底
26275	3	演	商议/商讨/讨论
26325	3	弦	斜边
26388	0	硯	砚台
26399	0	英文	英语
26688	1	繞	环绕/围绕
26936	0	濃	浓厚/浓烈
27651	2	棋	傀儡/棋子
27830	1	蓋	印/盖章
27721	0	鉗	钳子/夹钳
27765	1	橋	情节/剧情/桥段
27722	0	箝	钳子/夹钳
27831	0	蓋印	盖章
28004	1	拳	拳术
27868	0	擴闊	拓宽/扩展/扩大
27870	0	擴音	放大音量
27865	0	擴	扩展/扩大/扩张
27878	1	狂	疯狂/狂暴/狂野
28000	0	賄	贿赂/行贿
28111	0	籃	篮子
28196	1	立	竖立/直立
28207	0	立立亂	乱七八糟/一团糟/混乱不堪
28409	2	樓	楼层
28250	0	嚟/來	到来
28299	0	勒	勒紧
28270	0	禮盒	礼品盒
28208	0	立亂/笠亂	胡乱/草率/鲁莽
28403	0	溜	滑/滑动
28483	0	李	李子
28547	0	領	领取/收到/获得
28762	2	拎	拿/取/用
28647	0	紊	乱/杂乱/混乱
28841	0	嶺	山岭/山脉
28956	0	螺	螺蛳
28803	0	靈	灵验/有效/管用
28890	0	潦	潦草/草率
28881	0	撩	拨弄/挑逗/撩拨
28976	0	籮	箩筐/竹筐
29424	3	唔好意思	不好意思/难为情/害羞
29245	0	路	道路
28983	0	掠	骗/诈/骗取
29375	0	亂	胡乱/随便/乱来
29568	0	鰻	鳗鱼
29620	0	蜢	蝗/蚂蚱
29628	1	盲頭烏蠅	无头苍蝇/盲目行事
29887	0	踎低	蹲下
29914	1	揹	负责/承担/担负
29923	0	眯埋	闭上/眯上
29944	1	彌	修理/修补/修复
30176	0	蔑	蔑视/轻视/鄙视
29994	0	未有耐	还早着呢/没那么快/还早
30204	0	廟	寺庙
30346	0	冇幾耐	没多久/不久/不一会儿
30545	0	梅	梅子/梅花
30434	0	模	模型/模范/榜样
30692	0	抹	擦/擦拭
30551	1	媒	媒人/媒婆
30735	2	奶	胸/乳房/奶子
30885	0	呢啲/依啲	这些
30887	0	呢排/依排	最近/近来/这些天/这几天
30884	0	呢/依	这/这个/这些
30843	0	泥足深陷	深陷泥潭/难以自拔
30952	0	五星旗	五星红旗
30953	0	午	中午/正午
30991	0	牙肉	牙龈/牙床
30960	0	午餐會	午宴
30967	0	誤	错误/误会/误解
31096	0	硬係	偏要/非要/硬要
31435	0	擰	转/转动/扭转
31356	0	熬	煮/炖
31620	0	惡死能登/惡死睖瞪/惡屎能登	凶神恶煞/凶巴巴/恶狠狠
31707	0	派	派系/团体
31742	2	牌	奖牌/勋章
31697	0	扒	肉排/牛排/猪排/鸡排
31896	0	皮	皮革
32212	0	舖	店铺/商店
31750	0	拍	球拍
31779	1	棚	棚子/窝棚
32177	0	傍	临近/将近/接近
32230	0	泡	气泡
32384	1	索	吸/吸收/吸附
32287	0	仆	趴下/扑倒
32310	0	盤	盘子/托盘/碟子
32490	3	生	得/患上/染上
32616	0	使到	使得/导致/致使
32527	0	生螆/生滋	生虱子/长癣
33469	0	舍	屋舍/房子
34353	0	聲	声音
34374	2	醒	醒悟/清醒/觉醒
34030	0	士多房	储藏室/储物间
34501	0	繩	绳子
34525	0	剩返/剩番	剩下/剩余
34428	0	成	整个/全部/所有
34524	0	剩/淨/賸	剩下/剩余
34479	0	城	城市/城池
34526	0	剩下	剩余
35152	0	塑	形状/外形/形态
35490	0	軚盤/舦盤	方向盘/舵盘
35536	0	淡	浅
35547	0	癱	瘫痪/麻痹
35558	0	毯	毯子/毛毯
35985	0	亭	亭子
35981	0	聽晚	明晚/明天晚上
35687	0	氹氹轉	旋转木马/旋转游乐设施
36014	0	帖	卡片
36087	0	調	调节/调整/调控
36299	0	桃	桃子
36435	0	筒	竹筒
36207	0	熨	熨烫/熨平
36532	1	斷	切断/断开
36591	0	划	划船
36835	3	位	位置/地位/身份/角色
36715	0	挖	掘/掏
36724	0	滑捋捋/滑嘟嘟/滑lulu	滑溜溜/滑腻腻/滑滑的
36975	0	搲/𢱑/we	抓/挠/抠
36977	0	扔	丢/抛
37096	0	摀/烏	弯腰/俯身
37285	0	之嘛/啫嘛/咋嘛/喳嘛	而已/罢了
37361	0	眨/䁪	闪烁
37138	0	壺	一壶
37244	0	援	援助/帮助/支援
37345	0	宅	家
37634	0	陣	会儿/下
37646	2	爭	差/缺少/欠缺
37403	0	撰	撰写/写作
37740	0	侄	侄子/侄女
37670	0	掙	赚钱
37742	0	姪	侄子/侄女
37857	0	就嚟	快要/即将/马上
37837	0	揍	打/殴打
38241	0	止蝕位	止损点/止损位
38400	0	寺	寺庙/寺院
38686	0	墊	垫子
38834	0	正貨	正品/真货
38519	0	即係/唧係/姐係/啫係	就是/即是/等于/意味着
38912	1	淨/凈	纯/仅仅/只
39018	1	捷	敏捷/灵活/迅速
39020	0	睫	睫毛
39461	0	幢	栋/座
39162	0	雀	鸟
39298	0	杖	拐杖/手杖
39513	1	早抖/早唞	早死/去死吧/早点死
39525	0	蚤	跳蚤
39819	0	糭/粽/糉	粽子
39697	0	中銀	中行/中国银行
39758	0	綜	综合/总结
40131	5	吖	啊/呀
40068	0	轉軚/轉呔	转变立场/改变态度/改弦易辙
40132	0	柒/𨳍	鸡巴/屌
40133	1	柒/𨳍	土/土气/难看/邋遢
40145	0	壓縮檔	压缩文件/压缩包
40146	0	拗手瓜	掰手腕/扳手腕/比手劲
40149	0	拗撬/詏撬	争执/争论/争吵
40148	0	拗頸	抬杠/顶嘴/唱反调
40153	0	哎唷	哎哟/哎呀
40147	0	拗斷	折断/掰断
40152	1	哎	哎呀
40151	0	坳	山口/山隘
40154	0	矮	低
40150	0	拗數	算账/讨价还价/争论
40169	0	巴	巴掌
40161	1	暗	暗中/秘密
40155	0	翳	闷热/闷
